system:index,NDSI,doy,lat,long,name,year,.geo
2016_01_01_0,,1.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_01_1,,1.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_01_2,,1.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_01_3,,1.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_01_4,,1.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_01_5,,1.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_02_0,,2.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_02_1,,2.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_02_2,,2.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_02_3,,2.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_02_4,,2.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_02_5,,2.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_03_0,,3.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_03_1,,3.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_03_2,,3.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_03_3,,3.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_03_4,,3.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_03_5,,3.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_04_0,,4.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_04_1,,4.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_04_2,,4.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_04_3,,4.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_04_4,,4.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_04_5,,4.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_05_0,,5.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_05_1,,5.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
