SPP,Pheno_ID,Year,Observer,NOTES,P2,P2_Cert,P3,P3_Cert,Q2,Q2_Cert
LUPARC,Phenocam 1,2019,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,20/06/2019,3,22/06/2021,4,4,5
LUPARC,Phenocam 2,2019,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 4,2019,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug -  no phenophases can be noted",NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 1,2018,Elise Gallois,,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 2,2018,Elise Gallois,"Gap 15th-21st July, ends 9th August",24/06/2018,3,30/06/2018,4,12,5
LUPARC,Phenocam 3,2018,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,04/07/2018,4,07/07/2018,4,1,5
LUPARC,Phenocam 4,2018,Elise Gallois,Very limited selection - 12 Jun to 11 July,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 5,2018,Elise Gallois,,03/07/2018,4,07/07/2018,5,39,4
LUPARC,Phenocam 6,2018,Elise Gallois,Big gap between 5th July and 12th August,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 1,2017,Elise Gallois,,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 2,2017,Elise Gallois,"Gaps from 4th June - 11th June, 16th June - 7th Aug",NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 3,2017,Elise Gallois,Gaps from17th July - 01 August,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 4,2017,Elise Gallois,"Limited selection (10th July to 9th August), Gaps from 10th-20th July, 20th July-2nd August",NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 5,2017,Elise Gallois,Gaps between 6th-15th June as phenocam knocked down,17/06/2017,3,22/06/2017,5,4,5
LUPARC,Phenocam 6,2017,Elise Gallois,Gaps between 27th June - 25th July,NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 1,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,25/06/2016,3,2,3
LUPARC,Phenocam 2,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,NA,NA,12,4
LUPARC,Phenocam 3,2016,Elise Gallois,"Limited selection (5th July to 12th August), Gaps from 8th July - 28th August",NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 4,2016,Elise Gallois,"Limited selection (14th July - 31st Aug), gap between 18th - 28th jul",NA,NA,NA,NA,NA,NA
LUPARC,Phenocam 5,2016,Elise Gallois,"Limited selection (23rd July - 26th Aug), gaps 29th July-28th Aug",NA,NA,NA,NA,27,5
LUPARC,Phenocam 6,2016,Elise Gallois,"Limited selection (24th-Jul - 1st September), gaps 24th July - 16th August",NA,NA,NA,NA,NA,NA
