SPP,Pheno_ID,Year,Observer,NOTES,P2,P2_Cert,P5,P5_Cert,P6,P6_Cert,Q3-M,Q3-M_Cert,Q3-F,Q3-F_Cert
SALARC,Phenocam 1,2019,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,NA,NA,25/07/2019,4,NA,NA,4,3,4,4
SALARC,Phenocam 2,2019,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALARC,Phenocam 4,2019,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug -  no phenophases can be noted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALARC,Phenocam 1,2018,Elise Gallois,,24/06/2018,5,NA,NA,NA,NA,0,4,3,3
SALARC,Phenocam 2,2018,Elise Gallois,"Gap 15th-21st July, ends 9th August",NA,NA,NA,NA,NA,NA,9,3,8,3
SALARC,Phenocam 3,2018,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,25/06/2018,5,NA,NA,NA,NA,3,4,8,5
SALARC,Phenocam 4,2018,Elise Gallois,Very limited selection - 12 Jun to 11 July,26/06/2018,5,NA,NA,NA,NA,NA,NA,NA,NA
SALARC,Phenocam 5,2018,Elise Gallois,,NA,NA,NA,NA,NA,NA,5,4,3,4
SALARC,Phenocam 6,2018,Elise Gallois,Big gap between 5th July and 12th August,24/06/2018,3,16/08/2018,3,11/09/2018,4,2,3,2,3
SALARC,Phenocam 1,2017,Elise Gallois,,17/06/2017,3,30/07/2017,4,04/09/2017,4,8,3,3,3
SALARC,Phenocam 2,2017,Elise Gallois,"Gaps from 4th June - 11th June, 16th June - 7th Aug",11/06/2017,4,09/08/2017,4,NA,NA,NA,NA,NA,NA
SALARC,Phenocam 3,2017,Elise Gallois,Gaps from17th July - 01 August,18/06/2017,3,09/08/2017,4,03/09/2017,4,1,2,2,2
SALARC,Phenocam 4,2017,Elise Gallois,"Limited selection (10th July to 9th August), Gaps from 10th-20th July, 20th July-2nd August",NA,NA,05/08/2021,4,NA,NA,17,5,0,5
SALARC,Phenocam 5,2017,Elise Gallois,Gaps between 6th-15th June as phenocam knocked down,16/06/2017,4,09/08/2017,3,NA,NA,10,4,0,4
SALARC,Phenocam 6,2017,Elise Gallois,Gaps between 27th June - 25th July,10/06/2017,3,26/07/2017,3,24/08/2017,3,1,3,3,4
SALARC,Phenocam 1,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,29/07/2016,5,NA,NA,NA,NA,NA,NA
SALARC,Phenocam 2,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,29/07/2016,5,NA,NA,16,5,12,4
SALARC,Phenocam 3,2016,Elise Gallois,"Limited selection (5th July to 12th August), Gaps from 8th July - 28th August",NA,NA,NA,NA,NA,NA,NA,NA,1,5
SALARC,Phenocam 4,2016,Elise Gallois,"Limited selection (14th July - 31st Aug), gap between 18th - 28th jul",NA,NA,NA,NA,28/08/2016,5,0,5,6,5
SALARC,Phenocam 5,2016,Elise Gallois,"Limited selection (23rd July - 26th Aug), gaps 29th July-28th Aug",NA,NA,29/07/2016,4,26/08/2016,4,NA,NA,NA,NA
SALARC,Phenocam 6,2016,Elise Gallois,"Limited selection (24th-Jul - 1st September), gaps 24th July - 16th August",NA,NA,NA,NA,27/08/2016,4,1,3,4,4
