"Spp","Plot.ID","Year","Observer","NOTES","obs","ind.ID","phase_ID","phase_DATE"
"SNOW","1","2018","Elise Gallois",NA,"phenocam","SNOW_1_2018","S1",154
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S1",153
"SNOW","1","2018","Elise Gallois",NA,"phenocam","SNOW_1_2018","S2",158
"SNOW","4","2018","Elise Gallois","Very limited selection - 12 Jun to 11 July","phenocam","SNOW_4_2018","S2",183
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S2",163
"SNOW","1","2017","Elise Gallois",NA,"phenocam","SNOW_1_2017","S2",147
"SNOW","3","2017","Elise Gallois","Gaps from17th July - 01 August","phenocam","SNOW_3_2017","S2",136
"SNOW","5","2017","Elise Gallois","Gaps between 6th-15th June as phenocam knocked down","phenocam","SNOW_5_2017","S2",135
"SNOW","6","2017","Elise Gallois","Gaps between 27th June - 25th July","phenocam","SNOW_6_2017","S2",137
"SNOW","1","2018","Elise Gallois",NA,"phenocam","SNOW_1_2018","S3",162
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S3",165
"SNOW","1","2017","Elise Gallois",NA,"phenocam","SNOW_1_2017","S3",150
"SNOW","3","2017","Elise Gallois","Gaps from17th July - 01 August","phenocam","SNOW_3_2017","S3",139
"SNOW","5","2017","Elise Gallois","Gaps between 6th-15th June as phenocam knocked down","phenocam","SNOW_5_2017","S3",148
"SNOW","6","2017","Elise Gallois","Gaps between 27th June - 25th July","phenocam","SNOW_6_2017","S3",139
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S4",245
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S5",277
"SNOW","6","2018","Elise Gallois","Big gap between 5th July and 12th August","phenocam","SNOW_6_2018","S6",284
"DRYINT","1","2019",NA,NA,"transect","DRYINT_1_2019","P1",136
"DRYINT","2","2019",NA,NA,"transect","DRYINT_2_2019","P1",133
"DRYINT","3","2019",NA,NA,"transect","DRYINT_3_2019","P1",136
"DRYINT","4","2019",NA,NA,"transect","DRYINT_4_2019","P1",133
