"term","df","sumsq","meansq","statistic","p.value"
"obs",1,8642.81341463178,8642.81341463178,95.0977009050101,2.34756819648418e-22
"Residuals",8854,804682.649999988,90.8835159250043,NA,NA
"obs",1,25905.0561330498,25905.0561330498,218.296616996892,1.25217925768553e-47
"Residuals",2806,332985.405405401,118.669068212901,NA,NA
"obs",1,6917.77076412058,6917.77076412058,121.276516981686,3.31062303339717e-27
"Residuals",1546,88185.8571428586,57.0413047495851,NA,NA
"obs",1,16300.2707930353,16300.2707930353,223.296579395336,6.41877373449187e-48
"Residuals",1978,144390.638297871,72.9983004539288,NA,NA
"obs",1,4952.67857142901,4952.67857142901,111.8267354765,2.28456391528059e-25
"Residuals",1726,76442.5714285727,44.288859460355,NA,NA
"obs",1,1824.18936877123,1824.18936877123,23.2073211389867,1.59707184307093e-06
"Residuals",1546,121521.857142856,78.6040473110324,NA,NA
"obs",1,54882.7092152369,54882.7092152369,274.584835398028,4.56026685453937e-59
"Residuals",2986,596827.459459455,199.875237595263,NA,NA
"obs",1,23722.4065934093,23722.4065934093,183.959251150089,2.38032712683839e-40
"Residuals",2266,292211.30769231,128.95468124109,NA,NA
"obs",1,35475.2380952365,35475.2380952365,259.997049701722,5.30977483203257e-52
"Residuals",970,132351.428571428,136.444771723121,NA,NA
